Date,Name,Day,Observance,Observance Strategy
2023-01-01,New Year's Day,Sunday,2023-01-02,next_monday
2023-01-22,Chinese New Year Day 1,Sunday,2023-01-22,actual_day
2023-01-23,Chinese New Year Day 2,Monday,2023-01-24,actual_day
2023-01-24,Chinese New Year Day 3,Monday,2023-01-24,actual_day
2023-04-07,Good Friday,Friday,2023-04-07,actual_day
2023-04-22,Hari Raya Puasa,Saturday,2023-04-24,actual_day
2023-05-01,Labour Day,Monday,2023-05-01,actual_day
2023-06-02,Vesak Day,Friday,2023-06-02,actual_day
2023-06-29,Hari Raya Haji,Thursday,2023-06-29,actual_day
2023-08-09,National Day,Wednesday,2023-08-09,actual_day
2023-11-12,Deepavali,Sunday,2023-11-13,next_monday
2023-12-25,Christmas Day,Monday,2023-12-25,actual_day
